#x [m],y [m],z [m],x [V/m],y [V/m],z [V/m]
Sample 1 time=5
0,0.0815,-0.1265,1.0514,-1486.84,-268.481
0,0.0825,-0.1265,0.950438,-1371.7,-266.08
0,0.0835,-0.1265,0.852518,-1256.32,-262.761
0,0.0845,-0.1265,0.757708,-1140.69,-258.523
0,0.0855,-0.1265,0.665974,-1024.81,-253.367
0,0.0865,-0.1265,0.577312,-908.699,-247.292
0,0.0875,-0.1265,0.491712,-792.337,-240.3
0,0.0885,-0.1265,0.409191,-675.732,-232.389
0,0.0895,-0.1265,0.329748,-558.883,-223.56
0,0.0905,-0.1265,0.253386,-441.789,-213.813
0,0.0915,-0.1265,-0.613352,-322.32,-198.965
0,0.0925,-0.1265,-2.11926,-200.982,-180.279
0,0.0935,-0.1265,-2.55912,-91.1959,-167.268
0,-0.0935,-0.1255,0.961876,-77.1278,388.505
0,-0.0925,-0.1255,2.19809,-179.215,402.13
0,-0.0915,-0.1255,2.42991,-289.965,412.756
0,-0.0905,-0.1255,2.65969,-401.709,422.666
0,-0.0895,-0.1255,2.88744,-514.448,431.86
0,-0.0885,-0.1255,3.11315,-628.181,440.337
0,-0.0875,-0.1255,3.33683,-742.908,448.098
0,-0.0865,-0.1255,3.55846,-858.63,455.142
0,-0.0855,-0.1255,3.77803,-975.345,461.469
0,-0.0845,-0.1255,3.99563,-1093.06,467.079
0,-0.0835,-0.1255,4.21109,-1211.76,471.973
0,-0.0825,-0.1255,4.4246,-1331.46,476.151
0,-0.0815,-0.1255,4.63606,-1452.15,479.612
0,-0.0805,-0.1255,4.84545,-1573.84,482.356
0,-0.0795,-0.1255,5.05284,-1696.52,484.385
0,-0.0785,-0.1255,5.25819,-1820.19,485.696
0,-0.0775,-0.1255,5.46144,-1944.86,486.291
0,-0.0765,-0.1255,5.66272,-2070.53,486.169
0,-0.0755,-0.1255,5.86191,-2197.19,485.331
0,-0.0745,-0.1255,6.0591,-2324.84,483.776
0,-0.0735,-0.1255,4.33182,-2473.78,498.875
0,-0.0725,-0.1255,3.81566,-2631.86,525.592
0,-0.0715,-0.1255,5.31557,-2776.52,536.332
0,-0.0705,-0.1255,6.71979,-2916.86,538.487
0,-0.0695,-0.1255,7.80997,-3059.28,540.881
0,-0.0685,-0.1255,8.58596,-3203.77,543.515
0,-0.0675,-0.1255,9.04781,-3350.34,546.389
0,-0.0665,-0.1255,9.19547,-3498.98,549.501
0,-0.0655,-0.1255,9.02898,-3649.71,552.854
0,-0.0645,-0.1255,8.54836,-3802.51,556.446
0,-0.0635,-0.1255,7.7536,-3957.39,560.277
0,-0.0625,-0.1255,6.64465,-4114.34,564.348
0,-0.0615,-0.1255,5.22156,-4273.37,568.658
0,-0.0605,-0.1255,3.48432,-4434.48,573.208
0,-0.0595,-0.1255,1.43287,-4597.67,577.997
0,-0.0585,-0.1255,-0.932667,-4762.94,583.026
0,-0.0575,-0.1255,-3.61237,-4930.28,588.294
0,-0.0565,-0.1255,-6.60625,-5099.7,593.802
0,-0.0555,-0.1255,-10.1302,-5272.05,597.784
0,-0.0545,-0.1255,-24.4535,-5451.25,627.609
0,-0.0535,-0.1255,-34.3397,-5626.74,655.783
0,-0.0525,-0.1255,-44.6788,-5808.04,681.131
0,-0.0515,-0.1255,-52.1095,-6031.54,694.177
0,-0.0505,-0.1255,-61.5818,-6239.17,687.956
0,-0.0495,-0.1255,-70.341,-6446.31,683.858
0,-0.0485,-0.1255,-68.6713,-6649.79,676.593
0,-0.0475,-0.1255,-65.2853,-6853.47,670.397
0,-0.0465,-0.1255,-61.7087,-7057.96,666.091
0,-0.0455,-0.1255,-57.9416,-7263.24,663.674
